Data Set 2:Time(s),Data Set 2:Sound level A-weighted(dB),Data Set 2:Sound level C-weighted(dB)
28.4,54.1,56.4
28.5,57.4,57.7
28.6,100.1,98.8
28.7,108.8,110.2
28.8,108.8,110.2
28.9,108.8,110.2
29,108.8,110.2
29.1,53,55.7
29.2,53,56
29.3,53,56.2
29.4,53,55.4
29.5,53,55.2
29.6,53,55.2
29.7,53,55.4
29.8,53,55.7
29.9,53,54.9
30,53,54.3
30.1,103.8,102
30.2,108.8,110.2
30.3,53,55.7
30.4,104.7,97.3
30.5,108.8,110.2
30.6,53,56.7
30.7,102.4,96.7
30.8,108.8,110.2
30.9,108.8,110.2
31,108.8,110.2
31.1,108.8,110.2
31.2,53,56.2
31.3,55.5,56.2
31.4,56.9,56.9
31.5,53,56.2
31.6,103.8,99.7
31.7,108.8,110.2
31.8,55.8,57.1
31.9,103.6,99.6
32,108.8,110.2
32.1,108.8,110.2
32.2,108.8,110.2
32.3,108.8,110.2
32.4,55.5,57.9
32.5,102.7,100.1
32.6,108.8,110.2
32.7,108.8,110.2
32.8,108.8,110.2
32.9,108.8,110.2
33,54.5,55.4
33.1,100.3,100.5
33.2,108.8,110.2
33.3,56.6,57.9
33.4,56.4,59.2
33.5,54.8,58.5
33.6,56.6,58.1
33.7,100.6,97.7
33.8,108.8,110.2
33.9,108.8,110.2
34,108.8,110.2
34.1,108.8,110.2
34.2,53,56.7
34.3,103.4,98.7
34.4,108.8,110.2
34.5,108.8,110.2
34.6,108.7,110.2
34.7,108.7,110.2
34.8,53.8,56.4
34.9,103.4,97.6
35,108.7,110.2
35.1,108.7,110.2
35.2,108.7,110.2
35.3,108.7,110.2
35.4,53,55.4
35.5,54.5,56.7
35.6,53,55.7
35.7,53,55.7
35.8,104.2,98.2
35.9,108.7,110.2
36,108.7,110.2
36.1,108.7,110.2
36.2,108.7,110.2
36.3,56.4,56.7
36.4,101.6,98.7
36.5,108.7,110.2
36.6,62.7,64
36.7,53.8,56.2
36.8,53,55.7
36.9,53,55.7
37,53,55.7
37.1,53.8,56
37.2,53,56.4
37.3,54.5,57.1
37.4,54.1,56.4
37.5,56.1,57.1
37.6,102.2,99.4
37.7,108.7,110.2
37.8,56.1,58.1
37.9,100.7,97.4
38,108.7,110.2
38.1,57.9,56.9
38.2,102.4,99.7
38.3,108.7,110.2
38.4,108.7,110.2
38.5,108.7,110.2
38.6,108.7,110.2
38.7,53,55.7
38.8,53,55.7
38.9,54.5,55.7
39,55.5,57.5
39.1,104.6,96.4
39.2,108.7,110.2
39.3,53,56
39.4,102.4,96.8
39.5,108.8,110.2
39.6,53,56.7
39.7,99.6,97.7
39.8,108.7,110.2
39.9,53,56.7
40,53,56.9
40.1,53,57.1
40.2,53,57.3
40.3,53,56.9
40.4,53,56.9
40.5,54.5,57.9
40.6,54.1,58.1
40.7,55.2,58.1
40.8,59.6,59.4
40.9,59.6,58.9
41,60.5,60
41.1,58.8,58.3
41.2,57.2,57.1
41.3,53,55.4
41.4,60,59.1
41.5,62.4,62
41.6,53.4,55.4
41.7,53.4,55.7
41.8,55.2,56.2
41.9,53,55.2
42,56.1,57.1
42.1,53,55.2
42.2,53,54.6
42.3,53,55.4
42.4,53,54.9
42.5,53,55.4
42.6,53,54.9
42.7,53,55.4
42.8,53,55.7
42.9,53,55.7
43,53,55.4
43.1,53,55.7
43.2,71.8,74.7
43.3,64.3,66.2
43.4,60.2,60.8
43.5,59.2,58.9
43.6,53,56
43.7,53,55.4
43.8,53,56
43.9,53,55.7
44,53,56.4
